Year;Period;Full Period;Ech Analyse;Ech Positif;Tx
2020;S42;20-S42;380;24;6.31578947368421
2020;S43;20-S43;4050;189;4.66666666666667
2020;S44;20-S44;4682;235;5.0192225544639
2020;S45;20-S45;3715;332;8.93674293405114
2020;S46;20-S46;4167;342;8.207343412527
2020;S47;20-S47;6603;432;6.54248069059518
2020;S48;20-S48;5141;412;8.01400505738183
2020;S49;20-S49;5238;426;8.13287514318442
2020;S50;20-S50;4850;419;8.63917525773196
2020;S51;20-S51;5196;459;8.83371824480369
2020;S52;20-S52;3484;296;8.49598163030999
2020;S53;20-S53;5562;500;8.98957209636821
2021;S01;21-S01;7759;1043;13.4424539244748
2021;S02;21-S02;7629;776;10.171713199633
2021;S03;21-S03;7524;570;7.57575757575758
2021;S04;21-S04;5413;478;8.83059301681138
2021;S05;21-S05;8353;1079;12.9175146653897
2021;S06;21-S06;4368;664;15.2014652014652
2021;S07;21-S07;4310;726;16.8445475638051
2021;S08;21-S08;6480;1377;21.25
2021;S09;21-S09;7978;1648;20.656806217097
2021;S10;21-S10;8264;1759;21.28509196515
2021;S11;21-S11;7509;1786;23.7847915834332
2021;S12;21-S12;11187;2667;23.8401716277822
2021;S13;21-S13;5917;1522;25.7224945073517
2021;S14;21-S14;8526;1965;23.0471498944405
2021;S15;21-S15;7796;1649;21.1518727552591
2021;S16;21-S16;6727;1411;20.9751746692433
2021;S17;21-S17;7180;1230;17.1309192200557
2021;S18;21-S18;6264;801;12.7873563218391
2021;S19;21-S19;5550;647;11.6576576576577
2021;S20;21-S20;5142;486;9.45157526254376
2021;S21;21-S21;4211;319;7.57539776775113
2021;S22;21-S22;6745;414;6.13787991104522
2021;S23;21-S23;5881;286;4.86311851725897
2021;S24;21-S24;5810;295;5.07745266781411
2021;S25;21-S25;5818;160;2.75008594018563
2021;S26;21-S26;4051;120;2.96223154776598
2021;S27;21-S27;5207;107;2.05492606107163
2021;S28;21-S28;4988;123;2.46591820368885
2021;S29;21-S29;5089;101;1.98467282373747
2021;S30;21-S30;5757;92;1.59805454229633
2021;S31;21-S31;4645;128;2.7556512378902
2021;S32;21-S32;4717;163;3.45558617765529
2021;S33;21-S33;6541;257;3.92906283442899
2021;S34;21-S34;5933;331;5.57896511039946
2021;S35;21-S35;7207;487;6.7573192729291
2021;S36;21-S36;7168;629;8.77511160714286
2021;S37;21-S37;9916;863;8.70310609116579
2021;S38;21-S38;8826;919;10.4124178563336
2021;S39;21-S39;8812;952;10.8034498411257
2021;S40;21-S40;8360;893;10.6818181818182
2021;S41;21-S41;6666;654;9.81098109810981
2021;S42;21-S42;9096;817;8.98197009674582
2021;S43;21-S43;4888;403;8.24468085106383
2021;S44;21-S44;7162;400;5.58503211393466
2021;S45;21-S45;7711;368;4.77240306056283
2021;S46;21-S46;6045;240;3.97022332506203
2021;S47;21-S47;5611;217;3.86740331491713
2021;S48;21-S48;4417;120;2.71677609237039
2021;S49;21-S49;6969;232;3.32902855502942
2021;S50;21-S50;7939;610;7.68358735357098
2021;S51;21-S51;7442;1803;24.2273582370331
2021;S52;21-S52;8637;2349;27.1969433831191
2022;S01;22-S01;12504;1896;15.1631477927063
2022;S02;22-S02;8762;763;8.7080575211139
2022;S03;22-S03;11311;466;4.11988329944302
2022;S04;22-S04;8052;307;3.8127173373075
2022;S05;22-S05;7147;179;2.50454736252973
2022;S06;22-S06;6454;116;1.79733498605516
2022;S07;22-S07;5388;84;1.55902004454343
2022;S08;22-S08;2777;34;1.22434281598848
2022;S09;22-S09;5145;217;4.21768707482993
2022;S10;22-S10;5237;111;2.11953408439947
2022;S11;22-S11;4791;51;1.0644959298685
2022;S12;22-S12;5574;35;0.627915321133836
2022;S13;22-S13;4059;14;0.344912540034491
2022;S14;22-S14;4736;34;0.717905405405405
2022;S15;22-S15;4232;31;0.732514177693762
2022;S16;22-S16;3610;26;0.720221606648199
2022;S17;22-S17;4090;21;0.513447432762836
2022;S18;22-S18;4024;15;0.372763419483101
2022;S19;22-S19;3928;16;0.407331975560081
2022;S20;22-S20;3618;19;0.525152017689331
2022;S21;22-S21;2671;8;0.299513290902284
2022;S22;22-S22;3448;18;0.522041763341067
2022;S23;22-S23;3505;28;0.79885877318117
2022;S24;22-S24;4166;34;0.816130580892943
2022;S25;22-S25;3190;26;0.815047021943574
2022;S26;22-S26;3094;21;0.678733031674208
2022;S27;22-S27;2690;34;1.2639405204461
2022;S28;22-S28;2171;61;2.80976508521419
2022;S29;22-S29;2100;100;4.76190476190476
2022;S30;22-S30;2041;112;5.4875061244488
2022;S31;22-S31;2668;272;10.1949025487256
2022;S32;22-S32;2187;177;8.09327846364883
2022;S33;22-S33;2267;208;9.17512130569034
2022;S34;22-S34;2141;102;4.76412891172349
2022;S35;22-S35;2428;75;3.08896210873147
2022;S36;22-S36;2309;56;2.42529233434387
2022;S37;22-S37;1881;37;1.96703880914407
2022;S38;22-S38;1792;36;2.00892857142857
2022;S39;22-S39;1715;41;2.39067055393586
2022;S40;22-S40;929;23;2.47578040904198
2022;S41;22-S41;1090;40;3.6697247706422
2022;S42;22-S42;930;27;2.90322580645161
2022;S43;22-S43;736;18;2.44565217391304
2022;S44;22-S44;749;25;3.33778371161549
2022;S45;22-S45;664;10;1.50602409638554
2022;S46;22-S46;717;42;5.85774058577406
2022;S47;22-S47;624;12;1.92307692307692
2022;S48;22-S48;643;7;1.08864696734059
2022;S49;22-S49;463;6;1.29589632829374
2022;S50;22-S50;396;2;0.505050505050505
2022;S51;22-S51;599;6;1.0016694490818
2022;S52;22-S52;411;3;0.72992700729927
2023;S01;23-S01;659;5;0.758725341426404
2023;S02;23-S02;652;2;0.306748466257669
2023;S03;23-S03;615;3;0.48780487804878
2023;S04;23-S04;419;1;0.238663484486873
2023;S05;23-S05;467;0;0
2023;S06;23-S06;373;17;4.55764075067024
2023;S07;23-S07;358;18;5.02793296089385
2023;S08;23-S08;357;34;9.52380952380952
2023;S09;23-S09;378;27;7.14285714285714
2023;S10;23-S10;305;15;4.91803278688525
2023;S11;23-S11;361;49;13.5734072022161
2023;S12;23-S12;312;17;5.44871794871795
2023;S13;23-S13;328;11;3.35365853658537
2023;S14;23-S14;247;1;0.404858299595142
2023;S15;23-S15;247;2;0.809716599190283
2023;S16;23-S16;190;0;0
2023;S17;23-S17;194;8;4.12371134020619
2023;S18;23-S18;163;2;1.22699386503067
2023;S19;23-S19;190;2;1.05263157894737
2023;S20;23-S20;181;0;0
2023;S21;23-S21;137;1;0.72992700729927
2023;S22;23-S22;89;0;0
2023;S23;23-S23;91;0;0
2023;S24;23-S24;81;2;2.46913580246914
2023;S25;23-S25;78;1;1.28205128205128
2023;S26;23-S26;67;0;0
2023;S27;23-S27;57;0;0
2023;S28;23-S28;47;0;0
2023;S29;23-S29;10;0;0
2023;S30;23-S30;12;0;0
